,0
2018-05-31,-0.33636363636363636
2018-06-30,
2018-07-31,0.39090909090909093
2018-08-31,0.20000000000000004
2018-09-30,
2018-10-31,0.02727272727272728
2018-11-30,-0.5181818181818182
2018-12-31,0.045454545454545456
2019-01-31,-0.36363636363636365
2019-02-28,0.5454545454545455
2019-03-31,
2019-04-30,0.27272727272727276
2019-05-31,-0.36363636363636365
2019-06-30,
2019-07-31,0.8951048951048951
2019-08-31,
2019-09-30,-0.5734265734265735
2019-10-31,-0.7132867132867133
2019-11-30,
2019-12-31,0.1328671328671329
2020-01-31,-0.04895104895104895
2020-02-29,
2020-03-31,-0.6713286713286714
2020-04-30,-0.4125874125874127
2020-05-31,
2020-06-30,0.27272727272727276
2020-07-31,0.16083916083916086
2020-08-31,-0.18181818181818185
2020-09-30,0.1188811188811189
2020-10-31,
2020-11-30,0.2517482517482518
2020-12-31,0.09090909090909093
2021-01-31,
2021-02-28,
2021-03-31,0.3216783216783217
2021-04-30,0.23076923076923078
2021-05-31,
2021-06-30,-0.7272727272727274
2021-07-31,
2021-08-31,-0.006993006993006993
2021-09-30,0.44755244755244755
2021-10-31,
2021-11-30,-0.08391608391608392
2021-12-31,-0.02097902097902098
2022-01-31,0.17482517482517487
2022-02-28,0.4125874125874127
2022-03-31,0.6013986013986015
2022-04-30,
2022-05-31,-0.04895104895104895
2022-06-30,-0.1188811188811189
2022-07-31,
2022-08-31,0.1328671328671329
2022-09-30,0.49650349650349657
2022-10-31,-0.10489510489510491
2022-11-30,0.5244755244755246
2022-12-31,
2023-01-31,-0.2377622377622378
2023-02-28,-0.23076923076923078
2023-03-31,-0.06293706293706294
2023-04-30,
2023-05-31,0.02097902097902098
2023-06-30,0.5034965034965035
2023-07-31,0.41958041958041964
2023-08-31,0.22377622377622378
2023-09-30,
2023-10-31,0.2797202797202798
2023-11-30,-0.4685314685314686
2023-12-31,
2024-01-31,0.7132867132867133
2024-02-29,-0.25874125874125875
2024-03-31,
2024-04-30,0.013986013986013986
2024-05-31,0.006993006993006993
2024-06-30,
2024-07-31,-0.3216783216783217
2024-08-31,
2024-09-30,0.7272727272727274
2024-10-31,0.3076923076923077
2024-11-30,
2024-12-31,0.3426573426573427
2025-01-31,-0.32867132867132864
2025-02-28,-0.11188811188811189
2025-03-31,0.5314685314685316
2025-04-30,0.055944055944055944
2025-05-31,
2025-06-30,-0.11188811188811189
2025-07-31,
2025-08-31,
